S&P 500,T-Bills (3(Month),10 Year Treasury Bonds,Baa Corporate Bonds,Inflation
0.097925,0.0014175,0.012041026,0.032358974,0.017715385
0.0880075,0.0004925,0.01062,0.03103,0.0180325
0.086815,-3.75E-05,0.0097725,0.0299525,0.0195025
0.0913425,-0.002765,0.0062325,0.0274125,0.0209075
0.1035125,-0.0057125,0.00596,0.02558,0.0239
0.1067675,-0.008715,0.005675,0.029935,0.0270475
0.0892625,-0.00915,0.00022,0.022435,0.0304675
0.0814175,-0.009845,-0.00121,0.0183975,0.032455
0.0778225,-0.00943,-0.0051,0.0104175,0.03516
0.07483,-0.0090875,-0.00624,0.008875,0.0361475
0.0809075,-0.0087975,-0.00447,0.0099775,0.037
0.0720875,-0.00995,-0.0053775,0.0125075,0.03796
0.073515,-0.0106775,-0.0094225,0.00807,0.04091
0.0806125,-0.01076,-0.01331,0.0026975,0.0442325
0.0826475,-0.00736,-0.0179175,-0.00279,0.047185
0.0843175,-0.0037375,-0.015365,-0.001775,0.0469325
0.0834175,-0.00195,-0.00684,0.00518,0.0456325
0.079855,-0.000135,-0.0068675,0.0069325,0.04584
0.0782525,0.0012075,-0.0045825,0.0086975,0.0462525
0.088175,0.00617,0.000315,0.0124175,0.04664
0.08934,0.008385,0.0092225,0.020735,0.0423825
0.0915825,0.009395,0.00879,0.0223175,0.04128
0.09279,0.0094075,0.0099525,0.024595,0.0416375
0.08476,0.01085,0.01135,0.0253925,0.0433175
0.08718,0.0124675,0.0126775,0.0258325,0.0433625
0.0839775,0.0123575,0.01706,0.03114,0.0426275
0.08622,0.012135,0.018255,0.0322675,0.043165
0.072465,0.0120975,0.0202025,0.0351475,0.043665
0.07289,0.0124825,0.01658,0.0325225,0.0445175
0.0764925,0.0129775,0.02211,0.0366775,0.04506
0.0874575,0.0137225,0.022925,0.037995,0.0451425
0.083725,0.0144975,0.0240025,0.0415925,0.0448425
0.0856175,0.014565,0.028225,0.041925,0.044805
0.0828675,0.01478,0.0266375,0.04153,0.0450425
0.07312,0.0148175,0.02731,0.0416725,0.04555
0.0696775,0.014275,0.027955,0.0422925,0.04577
0.0710175,0.0136875,0.02999,0.043405,0.0460325
0.069005,0.012595,0.02961,0.045025,0.0460925
0.0667775,0.0120325,0.0292275,0.045705,0.046665
0.07321,0.01223,0.02939,0.04585,0.04704
0.06851,0.0119925,0.02938,0.048165,0.04681
0.0579025,0.012165,0.0319725,0.0488675,0.04707
0.0669525,0.01143,0.037315,0.04793,0.0459125
0.07071,0.0109,0.0365875,0.0541225,0.0450425
0.0678475,0.009935,0.035655,0.0560525,0.044025
0.067615,0.00937,0.0372525,0.05571,0.0439475
0.080455,0.0094,0.0376975,0.05564,0.04353
0.0921325,0.01022,0.036245,0.0560375,0.0417275
0.085265,0.0103225,0.041025,0.062245,0.0388325
0.0831175,0.009865,0.0419425,0.06073,0.03728
0.091095,0.009915,0.0389525,0.059495,0.0365825
0.090165,0.010345,0.04039,0.0604775,0.035435
0.0960825,0.011005,0.042165,0.060555,0.0336575
0.0959225,0.0110075,0.0467475,0.0671,0.0309075
0.104055,0.0082025,0.0526525,0.0728975,0.0281175
0.0943075,0.0055325,0.0501425,0.0715775,0.0276475
0.0953325,0.004785,0.03746,0.0604325,0.0283025
0.10019,0.00398,0.03773,0.0587475,0.0281925
