S&P 500,T-Bills (3 Month),10 yr bonds,Cash
4.572%,1.132%,-7.928%,10.090%
-1.188%,-0.442%,-5.676%,9.278%
12.052%,-2.978%,-3.858%,6.764%
6.092%,-4.612%,-3.838%,6.902%
5.202%,-5.640%,-3.728%,6.896%
12.740%,-2.048%,-3.674%,3.810%
-0.502%,0.876%,-3.626%,3.868%
4.932%,-1.358%,-3.544%,8.162%
8.970%,-5.762%,-3.510%,6.934%
11.392%,-1.572%,-3.194%,4.098%
7.138%,-1.374%,-3.158%,7.972%
11.498%,-5.842%,-3.144%,5.294%
4.220%,-5.138%,-2.516%,6.028%
16.174%,-1.272%,-2.506%,4.338%
-0.592%,-1.602%,-2.288%,7.910%
1.166%,-1.176%,-2.246%,6.934%
8.344%,0.620%,-2.218%,1.950%
3.034%,-4.386%,-1.690%,4.526%
-4.366%,-1.572%,-1.388%,7.252%
8.606%,2.400%,-1.330%,9.516%
4.216%,0.812%,-1.272%,4.598%
1.934%,1.118%,-0.968%,2.822%
15.260%,-0.668%,-0.752%,2.720%
7.714%,1.540%,-0.684%,2.206%
13.812%,-1.588%,-0.630%,2.084%
14.966%,0.590%,-0.546%,1.456%
23.564%,0.178%,-0.440%,2.538%
-0.458%,-4.000%,-0.160%,3.378%
7.176%,-0.846%,-0.134%,1.434%
14.418%,-1.136%,-0.028%,1.360%
3.154%,0.694%,0.096%,4.560%
21.840%,-0.982%,0.124%,2.272%
12.636%,1.024%,0.150%,2.148%
-6.332%,-0.620%,0.226%,5.432%
21.094%,0.954%,0.258%,1.426%
8.106%,4.048%,0.354%,8.470%
15.044%,0.826%,0.428%,0.824%
-0.330%,-0.992%,0.496%,6.660%
1.844%,-2.916%,0.788%,2.144%
-2.244%,0.268%,0.878%,4.634%
23.678%,0.602%,0.886%,1.254%
-2.778%,0.322%,0.902%,3.036%
7.142%,-2.374%,1.024%,2.942%
13.458%,-0.810%,1.034%,1.822%
10.676%,1.720%,1.072%,1.864%
13.230%,1.244%,1.444%,1.684%
4.644%,1.760%,1.454%,1.306%
9.110%,1.540%,1.546%,1.370%
10.298%,-0.746%,1.578%,1.516%
11.864%,-4.618%,1.866%,3.114%
13.148%,-0.962%,2.190%,1.916%
9.742%,-0.106%,2.212%,2.696%
2.644%,-0.030%,2.262%,2.570%
10.140%,1.724%,2.312%,1.346%
13.382%,-1.232%,2.784%,1.538%
15.562%,-1.772%,2.892%,1.948%
2.700%,-0.294%,3.024%,0.904%
4.716%,-0.310%,3.118%,2.498%
13.460%,-0.708%,3.412%,1.208%
-3.150%,0.148%,3.420%,2.376%
-7.442%,-1.824%,3.666%,0.448%
12.398%,1.824%,3.718%,1.194%
-0.074%,-1.024%,3.740%,2.186%
14.068%,1.484%,3.744%,3.498%
11.884%,1.906%,3.764%,4.534%
11.314%,-1.454%,4.046%,1.692%
9.938%,2.496%,4.310%,2.540%
9.976%,4.956%,4.464%,6.602%
17.828%,1.918%,5.120%,2.836%
0.292%,0.186%,5.196%,2.678%
15.798%,-1.944%,5.458%,1.802%
-0.994%,1.686%,5.468%,2.186%
21.682%,2.492%,5.484%,2.596%
-0.474%,-0.374%,5.790%,2.492%
16.326%,2.458%,5.828%,2.370%
25.488%,2.564%,5.872%,2.368%
11.256%,2.060%,6.032%,4.142%
-3.920%,8.800%,6.185%,-4.075%
-1.056%,0.892%,6.336%,2.322%
2.438%,-1.404%,6.394%,2.270%
16.322%,-1.506%,6.728%,-0.710%
10.970%,1.524%,6.820%,4.228%
24.112%,1.524%,7.514%,-2.864%
12.544%,1.362%,7.804%,2.784%
5.580%,1.170%,8.324%,3.894%
11.734%,3.436%,8.776%,3.414%
-2.014%,7.226%,9.012%,-4.930%
-3.248%,7.982%,9.198%,-5.314%
10.486%,4.340%,9.562%,-4.742%
16.440%,3.022%,9.618%,3.540%
9.426%,2.576%,10.230%,3.680%
15.920%,4.982%,11.442%,4.858%
12.988%,3.936%,16.160%,3.294%
